City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Colonia,DE,78.96,clear sky,50.9333,6.95,Mauritius Hotel & Therme
267,Trairi,BR,84.42,broken clouds,-3.2778,-39.2689,janelas do mar
270,Cockburn Town,TC,81.07,few clouds,21.4612,-71.1419,Osprey Beach Hotel
273,Poco Verde,BR,84.42,light rain,-10.7083,-38.1833,Hotel Santa Cruz
279,Batesville,US,86.07,scattered clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
280,Ribeira Brava,PT,79.72,scattered clouds,32.65,-17.0667,Hotel do Campo
283,Ratnagiri,IN,81.07,broken clouds,16.9833,73.3,Hotel Landmark
289,Yenagoa,NG,82.27,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
292,Bumba,CD,85.86,light rain,2.1833,22.4667,Père Carlos
295,Anau,PF,79.11,light rain,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
296,Tamiahua,MX,87.22,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
300,Salina,US,77.13,overcast clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
302,Bambanglipuro,ID,78.44,overcast clouds,-7.95,110.2833,Puri Brata
304,Majene,ID,75.81,light rain,-3.5403,118.9707,Kost Putri RABBANI
309,Puerto Carreno,CO,75.18,moderate rain,6.189,-67.4859,Casa Hotel Victoria
311,Fort-Shevchenko,KZ,77.76,clear sky,44.5086,50.263,Oasis hotel Bautino
312,Mandera,KE,86.63,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
316,Ayagoz,KZ,76.86,overcast clouds,47.9714,80.4392,ХАН
318,Selu,IN,88.54,overcast clouds,19.4667,76.4667,M D
322,Coahuayana,MX,87.94,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
331,Bafra,TR,75.81,overcast clouds,41.5678,35.9069,Sevgi Otel
332,Basco,PH,85.05,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
334,Agadir,MA,77.45,few clouds,30.4202,-9.5982,Iberostar Founty Beach
337,Bangolo,CI,82.11,overcast clouds,7.0069,-7.475,Hôtel Boya Bangolo
338,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
340,Zhanaozen,KZ,86.68,clear sky,43.3,52.8,K.korabay 28A
342,Artyom,AZ,77.14,broken clouds,40.4723,50.333,Pir hos
346,Buctzotz,MX,87.3,clear sky,21.2,-88.7833,Buctoztz
349,Zabol,AF,79.84,clear sky,32.25,67.25,
356,Marmaris,TR,82.35,few clouds,36.855,28.2742,BLUE BAY PLATINUM HOTEL
357,Issoudun,FR,76.69,clear sky,47.0,1.8333,
360,Gamba,GA,80.08,scattered clouds,-2.65,10.0,
362,San Patricio,US,89.87,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
365,Wiang Sa,TH,77.11,overcast clouds,8.6359,99.3666,ชำนาญอินน์
