City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Salina,US,38.8403,-97.6114,77.13,83,100,11.5,overcast clouds
301,Norman Wells,CA,65.282,-126.8329,42.84,93,100,14.97,light rain
302,Bambanglipuro,ID,-7.95,110.2833,78.44,84,100,1.79,overcast clouds
303,Lodwar,KE,3.1191,35.5973,92.64,28,0,9.69,clear sky
304,Majene,ID,-3.5403,118.9707,75.81,96,100,3.09,light rain
305,Khani,GE,41.9563,42.9566,63.97,91,100,7.18,overcast clouds
306,Baykalsk,RU,51.5058,104.1469,56.84,63,22,5.61,few clouds
307,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,76,75,23.02,broken clouds
308,Gori,GE,41.9842,44.1158,70.54,73,87,7.78,overcast clouds
309,Puerto Carreno,CO,6.189,-67.4859,75.18,94,75,8.05,moderate rain
310,Puerto Gaitan,CO,4.3133,-72.0816,71.98,91,100,11.12,overcast clouds
311,Fort-Shevchenko,KZ,44.5086,50.263,77.76,47,0,10.87,clear sky
312,Mandera,KE,3.9366,41.867,86.63,47,97,16.87,overcast clouds
313,Upernavik,GL,72.7868,-56.1549,28.69,79,94,13.65,overcast clouds
314,Sembakung,ID,3.8167,117.25,73.85,95,100,1.21,overcast clouds
315,Prince Rupert,CA,54.3161,-130.3201,50.09,89,100,12.66,overcast clouds
316,Ayagoz,KZ,47.9714,80.4392,76.86,35,100,14.94,overcast clouds
317,Constitucion,CL,-35.3333,-72.4167,54.59,69,46,3.24,scattered clouds
318,Selu,IN,19.4667,76.4667,88.54,50,95,8.77,overcast clouds
319,Beni Mazar,EG,28.4962,30.8029,99.14,15,0,16.04,clear sky
320,Christchurch,NZ,-43.5333,172.6333,43.41,75,20,9.22,few clouds
321,Kaili,ID,-3.4626,120.2147,67.01,97,100,2.3,overcast clouds
322,Coahuayana,MX,18.7333,-103.6833,87.94,57,12,1.92,few clouds
323,Hofn,IS,64.2539,-15.2082,53.85,71,19,4.21,few clouds
324,Sarandi,BR,-23.4436,-51.8739,54.95,58,0,10.36,clear sky
325,Dubbo,AU,-32.25,148.6167,46.53,87,100,8.05,overcast clouds
326,Minsk,BY,53.9,27.5667,74.95,61,20,10.0,few clouds
327,Three Hills,CA,51.7001,-113.2686,62.67,51,66,6.91,broken clouds
328,Codrington,AU,-38.2667,141.9667,52.34,81,100,8.19,overcast clouds
329,Isangel,VU,-19.55,169.2667,73.51,94,92,3.44,overcast clouds
330,Port Augusta,AU,-32.5,137.7667,49.95,81,100,5.39,overcast clouds
331,Bafra,TR,41.5678,35.9069,75.81,83,85,3.71,overcast clouds
332,Basco,PH,20.4487,121.9702,85.05,76,91,7.09,overcast clouds
333,Fredericksburg,US,38.3032,-77.4605,71.01,88,75,1.99,broken clouds
334,Agadir,MA,30.4202,-9.5982,77.45,61,16,11.74,few clouds
335,Iskateley,RU,67.6803,53.1512,54.86,38,1,10.22,clear sky
336,Cascais,PT,38.6979,-9.4215,94.35,40,0,10.36,clear sky
337,Bangolo,CI,7.0069,-7.475,82.11,68,100,2.01,overcast clouds
338,Port-Gentil,GA,-0.7193,8.7815,82.36,78,75,8.05,broken clouds
339,Mahanoro,MG,-19.9,48.8,68.29,78,2,6.93,light rain
340,Zhanaozen,KZ,43.3,52.8,86.68,15,0,1.79,clear sky
341,Nantucket,US,41.2835,-70.0995,71.74,85,78,11.16,broken clouds
342,Artyom,AZ,40.4723,50.333,77.14,54,82,10.56,broken clouds
343,Coquimbo,CL,-29.9533,-71.3436,51.53,76,20,3.44,few clouds
344,Sept-Iles,CA,50.2001,-66.3821,63.12,62,20,11.5,few clouds
345,Sterling,US,39.0062,-77.4286,70.75,87,100,6.91,overcast clouds
346,Buctzotz,MX,21.2,-88.7833,87.3,57,7,8.39,clear sky
