City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Hualmay,PE,2022-06-08 17:13:56,-11.0964,-77.6139,67.69,75,51,9.6
181,Narsaq,GL,2022-06-08 17:13:56,60.9167,-46.05,61.02,60,99,6.58
182,Quatre Cocos,MU,2022-06-08 17:13:56,-20.2078,57.7625,71.1,75,4,8.23
183,Uyemskiy,RU,2022-06-08 17:13:57,64.4743,40.8524,69.85,35,0,2.24
184,Asau,RO,2022-06-08 17:14:57,46.4333,26.4,74.32,60,51,3.36
185,Yulara,AU,2022-06-08 17:14:57,-25.2406,130.9889,47.53,59,3,9.19
186,Porto Tolle,IT,2022-06-08 17:14:57,44.9497,12.3245,76.03,66,98,7.58
187,Imbituba,BR,2022-06-08 17:14:58,-28.24,-48.6703,68.09,84,83,3.0
188,Mount Gambier,AU,2022-06-08 17:14:58,-37.8333,140.7667,50.09,77,100,10.94
189,Takab,IR,2022-06-08 17:14:58,36.4009,47.1133,66.97,27,0,15.23
190,La Ronge,CA,2022-06-08 17:14:59,55.1001,-105.2842,68.25,32,20,8.05
191,Djibo,BF,2022-06-08 17:14:59,14.1022,-1.6306,101.3,19,0,8.95
192,Los Llanos De Aridane,ES,2022-06-08 17:14:59,28.6585,-17.9182,71.35,69,0,16.11
193,Talipan,PH,2022-06-08 17:15:00,13.9333,121.6833,80.15,88,100,2.17
194,Naze,JP,2022-06-08 17:15:00,28.3667,129.4833,69.6,86,56,3.58
195,Am Timan,TD,2022-06-08 17:15:00,11.0297,20.2827,88.41,38,88,3.11
196,Dikson,RU,2022-06-08 17:15:00,73.5069,80.5464,28.85,93,7,5.32
197,Camargo,MX,2022-06-08 17:15:01,27.6667,-105.1667,90.68,20,82,5.5
198,Plettenberg Bay,ZA,2022-06-08 17:15:01,-34.0527,23.3716,67.51,45,0,4.99
199,Isangel,VU,2022-06-08 17:15:02,-19.55,169.2667,75.34,75,100,7.85
200,Ponta Do Sol,PT,2022-06-08 17:15:02,32.6667,-17.1,81.72,73,0,4.12
201,Necochea,AR,2022-06-08 17:15:02,-38.5473,-58.7368,61.97,43,1,9.69
202,Gigmoto,PH,2022-06-08 17:15:03,13.7796,124.39,81.27,82,94,5.75
203,Gloversville,US,2022-06-08 17:15:03,43.0528,-74.3438,71.19,77,100,9.22
204,Lipin Bor,RU,2022-06-08 17:15:03,60.2622,37.9763,56.32,56,69,2.53
205,Rusape,ZW,2022-06-08 17:15:04,-18.5278,32.1284,54.23,69,99,6.4
206,Vardo,NO,2022-06-08 17:15:04,70.3705,31.1107,48.18,71,0,6.91
207,Trabzon,TR,2022-06-08 17:15:04,40.9167,39.8333,64.49,100,75,2.3
208,Victoria,HK,2022-06-08 17:10:53,22.2855,114.1577,80.65,91,100,5.99
209,Cervignano Del Friuli,IT,2022-06-08 17:15:05,45.8211,13.3381,80.67,48,31,4.61
210,Barberton,ZA,2022-06-08 17:15:05,-25.7884,31.0532,57.25,59,0,1.21
211,Palmerston North,NZ,2022-06-08 17:15:05,-40.35,175.6167,55.06,90,87,1.01
212,Nikolskoye,RU,2022-06-08 17:15:06,59.7035,30.7861,71.49,88,100,2.82
213,Havelock,US,2022-06-08 17:13:59,34.8791,-76.9013,87.96,73,76,5.01
214,Tsiroanomandidy,MG,2022-06-08 17:15:06,-18.7667,46.0333,65.12,66,7,3.04
215,Raudeberg,NO,2022-06-08 17:15:06,61.9875,5.1352,56.07,79,71,23.47
216,Duverge,DO,2022-06-08 17:15:07,18.3784,-71.5247,95.72,36,31,10.29
217,Hohhot,CN,2022-06-08 17:15:07,40.8106,111.6522,65.25,27,29,6.4
218,Lagoa,PT,2022-06-08 17:15:07,39.05,-27.9833,65.39,87,22,22.17
219,Rio Branco,BR,2022-06-08 17:10:26,-9.9747,-67.81,88.41,66,75,4.61
220,Samarai,PG,2022-06-08 17:15:08,-10.6167,150.6667,81.1,78,96,6.13
221,Chuy,UY,2022-06-08 17:15:08,-33.6971,-53.4616,63.66,67,83,4.43
222,Quelimane,MZ,2022-06-08 17:15:08,-17.8786,36.8883,71.55,88,40,10.36
223,Porto Novo,BJ,2022-06-08 17:15:09,6.4965,2.6036,85.82,73,91,10.49
224,Airai,TL,2022-06-08 17:15:09,-8.9266,125.4092,59.65,96,65,3.18
225,Linguere,SN,2022-06-08 17:15:10,15.3953,-15.1193,103.59,24,63,7.25
226,Baker City,US,2022-06-08 17:15:10,44.7749,-117.8344,62.31,73,100,6.91
227,Ambon,ID,2022-06-08 17:15:10,-3.6954,128.1814,80.69,79,66,5.53
228,Paungde,MM,2022-06-08 17:15:10,18.4833,95.5,76.87,90,100,11.12
229,Chokurdakh,RU,2022-06-08 17:15:11,70.6333,147.9167,37.74,74,22,10.4
230,Rumoi,JP,2022-06-08 17:15:11,43.9344,141.6428,46.06,92,52,6.22
231,Simbahan,PH,2022-06-08 17:16:11,6.3032,120.5836,83.93,70,63,6.73
232,Spirovo,RU,2022-06-08 17:16:12,57.419,34.9766,61.88,64,73,4.94
233,Alofi,NU,2022-06-08 17:16:12,-19.0595,-169.9187,67.89,94,42,5.75
234,Phek,IN,2022-06-08 17:16:12,25.6667,94.5,60.87,100,100,0.96
235,Kiama,AU,2022-06-08 17:16:13,-34.6833,150.8667,51.39,66,9,10.0
236,Makakilo City,US,2022-06-08 17:16:13,21.3469,-158.0858,75.52,71,0,9.22
237,Qujing,CN,2022-06-08 17:16:13,25.4833,103.7833,62.55,95,100,0.54
238,Neuquen,AR,2022-06-08 17:12:19,-38.9516,-68.0591,55.29,54,0,4.61
239,Tevaitoa,PF,2022-06-08 17:16:14,-16.7833,-151.5,80.44,71,22,11.12
240,Akdepe,TM,2022-06-08 17:16:14,42.0551,59.3788,82.49,27,7,17.29
241,Novaya Bryan,RU,2022-06-08 17:16:14,51.7159,108.2691,41.38,89,38,1.86
242,Provideniya,RU,2022-06-08 17:16:15,64.3833,-173.3,44.65,55,18,6.76
243,Joensuu,FI,2022-06-08 17:16:15,62.6012,29.7632,59.49,67,100,10.36
244,Nalagarh,IN,2022-06-08 17:16:15,31.05,76.7167,94.82,14,50,5.41
245,Ito,JP,2022-06-08 17:16:15,34.9667,139.0833,59.68,96,99,7.81
246,Constitucion,CL,2022-06-08 17:16:16,-35.3333,-72.4167,57.36,77,91,5.37
247,Nishihara,JP,2022-06-08 17:12:46,26.1842,127.7558,74.48,83,75,4.61
248,Grand Island,US,2022-06-08 17:15:35,40.925,-98.342,71.55,58,0,14.97
249,Torbay,CA,2022-06-08 17:16:16,47.6666,-52.7314,55.27,70,20,9.22
250,Maniitsoq,GL,2022-06-08 17:16:17,65.4167,-52.9,40.82,68,1,2.28
251,Redmond,US,2022-06-08 17:12:52,47.674,-122.1215,65.16,70,99,10.0
252,Black River,JM,2022-06-08 17:16:17,18.0264,-77.8487,89.24,56,70,19.33
253,Alpena,US,2022-06-08 17:16:17,45.0617,-83.4327,62.85,76,32,5.01
254,Ures,MX,2022-06-08 17:16:18,29.4333,-110.4,94.71,22,91,4.63
255,Oistins,BB,2022-06-08 17:16:18,13.0667,-59.5333,87.89,66,40,21.85
256,Barrow,US,2022-06-08 17:16:18,71.2906,-156.7887,24.82,86,100,8.05
